"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Graduate or professional degree","Margin of Error!!Total!!Graduate or professional degree","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Same house 1 year ago!!Less than high school graduate","Margin of Error!!Total!!Same house 1 year ago!!Less than high school graduate","Estimate!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Margin of Error!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Estimate!!Total!!Same house 1 year ago!!Some college or associate's degree","Margin of Error!!Total!!Same house 1 year ago!!Some college or associate's degree","Estimate!!Total!!Same house 1 year ago!!Bachelor's degree","Margin of Error!!Total!!Same house 1 year ago!!Bachelor's degree","Estimate!!Total!!Same house 1 year ago!!Graduate or professional degree","Margin of Error!!Total!!Same house 1 year ago!!Graduate or professional degree","Estimate!!Total!!Moved within same county","Margin of Error!!Total!!Moved within same county","Estimate!!Total!!Moved within same county!!Less than high school graduate","Margin of Error!!Total!!Moved within same county!!Less than high school graduate","Estimate!!Total!!Moved within same county!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved within same county!!High school graduate (includes equivalency)","Estimate!!Total!!Moved within same county!!Some college or associate's degree","Margin of Error!!Total!!Moved within same county!!Some college or associate's degree","Estimate!!Total!!Moved within same county!!Bachelor's degree","Margin of Error!!Total!!Moved within same county!!Bachelor's degree","Estimate!!Total!!Moved within same county!!Graduate or professional degree","Margin of Error!!Total!!Moved within same county!!Graduate or professional degree","Estimate!!Total!!Moved from different county within same state","Margin of Error!!Total!!Moved from different county within same state","Estimate!!Total!!Moved from different county within same state!!Less than high school graduate","Margin of Error!!Total!!Moved from different county within same state!!Less than high school graduate","Estimate!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different county within same state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different county within same state!!Some college or associate's degree","Estimate!!Total!!Moved from different county within same state!!Bachelor's degree","Margin of Error!!Total!!Moved from different county within same state!!Bachelor's degree","Estimate!!Total!!Moved from different county within same state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different county within same state!!Graduate or professional degree","Estimate!!Total!!Moved from different state","Margin of Error!!Total!!Moved from different state","Estimate!!Total!!Moved from different state!!Less than high school graduate","Margin of Error!!Total!!Moved from different state!!Less than high school graduate","Estimate!!Total!!Moved from different state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different state!!Some college or associate's degree","Estimate!!Total!!Moved from different state!!Bachelor's degree","Margin of Error!!Total!!Moved from different state!!Bachelor's degree","Estimate!!Total!!Moved from different state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different state!!Graduate or professional degree","Estimate!!Total!!Moved from abroad","Margin of Error!!Total!!Moved from abroad","Estimate!!Total!!Moved from abroad!!Less than high school graduate","Margin of Error!!Total!!Moved from abroad!!Less than high school graduate","Estimate!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from abroad!!Some college or associate's degree","Margin of Error!!Total!!Moved from abroad!!Some college or associate's degree","Estimate!!Total!!Moved from abroad!!Bachelor's degree","Margin of Error!!Total!!Moved from abroad!!Bachelor's degree","Estimate!!Total!!Moved from abroad!!Graduate or professional degree","Margin of Error!!Total!!Moved from abroad!!Graduate or professional degree",
"0500000US18105","Monroe County, Indiana","74130","74","6278","600","17803","852","18572","725","15856","719","15621","743","60303","853","5077","544","15442","761","14947","790","12148","668","12689","641","7342","612","634","191","1577","311","2169","351","1576","294","1386","289","2693","483","398","163","591","192","863","236","638","184","203","95","2814","469","118","79","172","126","442","162","1118","275","964","229","978","215","51","52","21","23","151","77","376","141","379","141",
"1400000US18105000100","Census Tract 1, Monroe County, Indiana","1365","163","126","79","179","83","258","119","319","109","483","170","656","111","52","38","92","65","125","75","105","60","282","118","409","125","19","20","42","31","95","80","71","42","182","110","134","70","19","17","43","41","28","31","25","23","19","28","138","86","36","53","2","4","10","17","90","71","0","89","28","33","0","89","0","89","0","89","28","33","0","89",
"1400000US18105000201","Census Tract 2.01, Monroe County, Indiana","1173","204","30","51","74","57","106","75","427","144","536","156","577","144","0","89","58","51","53","49","177","92","289","94","73","73","0","89","16","24","23","38","34","57","0","89","17","29","17","29","0","89","0","89","0","89","0","89","154","99","13","22","0","89","0","89","49","42","92","62","352","139","0","89","0","89","30","38","167","103","155","100",
"1400000US18105000202","Census Tract 2.02, Monroe County, Indiana","240","154","15","23","23","26","57","56","45","42","100","142","134","146","15","23","11","17","6","12","23","24","79","138","12","18","0","89","12","18","0","89","0","89","0","89","43","42","0","89","0","89","33","35","0","89","10","21","13","17","0","89","0","89","0","89","13","17","0","89","38","40","0","89","0","89","18","27","9","18","11","22",
"1400000US18105000301","Census Tract 3.01, Monroe County, Indiana","1911","267","122","74","282","104","364","125","554","161","589","152","1443","212","77","56","245","104","231","104","431","152","459","130","230","95","0","89","5","10","117","81","48","33","60","39","135","125","45","56","13","21","16","19","31","51","30","48","51","45","0","89","19","28","0","89","32","34","0","89","52","47","0","89","0","89","0","89","12","18","40","37",
"1400000US18105000302","Census Tract 3.02, Monroe County, Indiana","1495","161","65","80","138","69","183","88","366","110","743","141","1160","127","13","16","129","66","141","66","256","97","621","125","97","75","0","89","0","89","0","89","52","47","45","38","70","56","25","38","1","2","11","16","33","39","0","89","140","95","27","40","0","89","31","51","19","23","63","59","28","27","0","89","8","12","0","89","6","9","14","22",
"1400000US18105000401","Census Tract 4.01, Monroe County, Indiana","2089","203","186","66","664","131","527","145","478","112","234","100","1491","187","168","70","532","117","377","119","268","97","146","70","306","115","18","24","85","59","50","46","94","57","59","49","181","94","0","89","47","46","48","59","73","61","13","18","85","101","0","89","0","89","40","52","29","44","16","25","26","30","0","89","0","89","12","20","14","24","0","89",
"1400000US18105000402","Census Tract 4.02, Monroe County, Indiana","2443","265","225","113","477","146","870","211","510","186","361","123","1471","228","171","85","283","121","434","144","303","112","280","111","569","178","24","27","75","63","307","149","101","77","62","45","262","218","0","89","58","53","129","142","75","75","0","89","103","106","0","89","61","99","0","89","23","32","19","25","38","52","30","51","0","89","0","89","8","12","0","89",
"1400000US18105000501","Census Tract 5.01, Monroe County, Indiana","2991","231","313","128","871","167","971","173","544","143","292","94","2303","223","189","91","693","143","797","159","419","124","205","79","457","140","101","61","143","77","104","56","47","33","62","50","117","73","13","17","20","32","58","48","16","19","10","17","89","93","0","89","15","22","12","20","62","90","0","89","25","29","10","16","0","89","0","89","0","89","15","23",
