"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than high school graduate","Margin of Error!!Total:!!Less than high school graduate","Estimate!!Total:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!High school graduate (includes equivalency)","Estimate!!Total:!!Some college or associate's degree","Margin of Error!!Total:!!Some college or associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Graduate or professional degree","Margin of Error!!Total:!!Graduate or professional degree","Estimate!!Total:!!Same house 1 year ago:","Margin of Error!!Total:!!Same house 1 year ago:","Estimate!!Total:!!Same house 1 year ago:!!Less than high school graduate","Margin of Error!!Total:!!Same house 1 year ago:!!Less than high school graduate","Estimate!!Total:!!Same house 1 year ago:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Same house 1 year ago:!!High school graduate (includes equivalency)","Estimate!!Total:!!Same house 1 year ago:!!Some college or associate's degree","Margin of Error!!Total:!!Same house 1 year ago:!!Some college or associate's degree","Estimate!!Total:!!Same house 1 year ago:!!Bachelor's degree","Margin of Error!!Total:!!Same house 1 year ago:!!Bachelor's degree","Estimate!!Total:!!Same house 1 year ago:!!Graduate or professional degree","Margin of Error!!Total:!!Same house 1 year ago:!!Graduate or professional degree","Estimate!!Total:!!Moved within same county:","Margin of Error!!Total:!!Moved within same county:","Estimate!!Total:!!Moved within same county:!!Less than high school graduate","Margin of Error!!Total:!!Moved within same county:!!Less than high school graduate","Estimate!!Total:!!Moved within same county:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved within same county:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved within same county:!!Some college or associate's degree","Margin of Error!!Total:!!Moved within same county:!!Some college or associate's degree","Estimate!!Total:!!Moved within same county:!!Bachelor's degree","Margin of Error!!Total:!!Moved within same county:!!Bachelor's degree","Estimate!!Total:!!Moved within same county:!!Graduate or professional degree","Margin of Error!!Total:!!Moved within same county:!!Graduate or professional degree","Estimate!!Total:!!Moved from different county within same state:","Margin of Error!!Total:!!Moved from different county within same state:","Estimate!!Total:!!Moved from different county within same state:!!Less than high school graduate","Margin of Error!!Total:!!Moved from different county within same state:!!Less than high school graduate","Estimate!!Total:!!Moved from different county within same state:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved from different county within same state:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved from different county within same state:!!Some college or associate's degree","Margin of Error!!Total:!!Moved from different county within same state:!!Some college or associate's degree","Estimate!!Total:!!Moved from different county within same state:!!Bachelor's degree","Margin of Error!!Total:!!Moved from different county within same state:!!Bachelor's degree","Estimate!!Total:!!Moved from different county within same state:!!Graduate or professional degree","Margin of Error!!Total:!!Moved from different county within same state:!!Graduate or professional degree","Estimate!!Total:!!Moved from different state:","Margin of Error!!Total:!!Moved from different state:","Estimate!!Total:!!Moved from different state:!!Less than high school graduate","Margin of Error!!Total:!!Moved from different state:!!Less than high school graduate","Estimate!!Total:!!Moved from different state:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved from different state:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved from different state:!!Some college or associate's degree","Margin of Error!!Total:!!Moved from different state:!!Some college or associate's degree","Estimate!!Total:!!Moved from different state:!!Bachelor's degree","Margin of Error!!Total:!!Moved from different state:!!Bachelor's degree","Estimate!!Total:!!Moved from different state:!!Graduate or professional degree","Margin of Error!!Total:!!Moved from different state:!!Graduate or professional degree","Estimate!!Total:!!Moved from abroad:","Margin of Error!!Total:!!Moved from abroad:","Estimate!!Total:!!Moved from abroad:!!Less than high school graduate","Margin of Error!!Total:!!Moved from abroad:!!Less than high school graduate","Estimate!!Total:!!Moved from abroad:!!High school graduate (includes equivalency)","Margin of Error!!Total:!!Moved from abroad:!!High school graduate (includes equivalency)","Estimate!!Total:!!Moved from abroad:!!Some college or associate's degree","Margin of Error!!Total:!!Moved from abroad:!!Some college or associate's degree","Estimate!!Total:!!Moved from abroad:!!Bachelor's degree","Margin of Error!!Total:!!Moved from abroad:!!Bachelor's degree","Estimate!!Total:!!Moved from abroad:!!Graduate or professional degree","Margin of Error!!Total:!!Moved from abroad:!!Graduate or professional degree",
"0500000US18105","Monroe County, Indiana","83104","79","4299","637","17806","1069","20178","905","19639","1028","21182","1124","70939","1030","3509","577","15642","995","17259","916","16360","958","18169","1083","7275","786","410","197","1413","360","1743","383","2023","358","1686","386","2204","417","150","114","455","176","798","269","447","184","354","145","2135","470","154","119","201","128","329","161","704","250","747","246","551","198","76","57","95","84","49","41","105","71","226","114",
"1400000US18105000100","Census Tract 1; Monroe County; Indiana","1388","297","67","25","217","77","208","113","486","196","410","148","942","241","24","28","93","64","140","111","386","176","299","125","162","83","21","19","47","30","35","33","41","47","18","31","138","91","22","17","35","30","14","21","0","13","67","69","127","93","0","13","42","45","0","13","59","57","26","32","19","30","0","13","0","13","19","30","0","13","0","13",
"1400000US18105000201","Census Tract 2.01; Monroe County; Indiana","373","155","3","5","15","22","69","46","243","135","43","22","336","154","1","3","15","22","60","44","232","135","28","18","27","22","2","4","0","13","9","14","7","11","9","9","0","13","0","13","0","13","0","13","0","13","0","13","1","4","0","13","0","13","0","13","0","13","1","4","9","9","0","13","0","13","0","13","4","6","5","8",
"1400000US18105000202","Census Tract 2.02; Monroe County; Indiana","126","75","0","18","0","18","32","49","47","42","47","39","98","64","0","18","0","18","32","49","47","42","19","20","19","21","0","18","0","18","0","18","0","18","19","21","0","18","0","18","0","18","0","18","0","18","0","18","9","15","0","18","0","18","0","18","0","18","9","15","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US18105000301","Census Tract 3.01; Monroe County; Indiana","2102","346","95","87","228","90","216","96","565","224","998","312","1387","270","77","82","176","87","160","81","420","164","554","168","431","235","0","13","24","27","37","40","41","45","329","243","19","20","0","13","0","13","19","20","0","13","0","13","146","150","0","13","0","13","0","13","88","129","58","72","119","89","18","21","28","46","0","13","16","27","57","71",
"1400000US18105000302","Census Tract 3.02; Monroe County; Indiana","1862","328","0","13","258","144","113","79","419","165","1072","290","1600","306","0","13","252","145","108","81","253","80","987","287","168","166","0","13","0","13","0","13","148","166","20","20","21","24","0","13","6","11","5","10","0","13","10","13","19","17","0","13","0","13","0","13","6","8","13","16","54","56","0","13","0","13","0","13","12","20","42","51",
"1400000US18105000401","Census Tract 4.01; Monroe County; Indiana","2533","369","95","79","615","246","516","190","718","219","589","190","2212","364","93","80","525","230","487","193","574","204","533","184","166","117","0","13","42","55","13","26","66","81","45","68","67","68","2","4","30","52","1","4","23","26","11","18","70","79","0","13","0","13","15","29","55","72","0","13","18","29","0","13","18","29","0","13","0","13","0","13",
"1400000US18105000402","Census Tract 4.02; Monroe County; Indiana","3233","542","239","219","558","209","673","261","1030","291","733","233","2390","499","220","216","454","215","455","179","670","219","591","202","564","250","8","21","56","37","218","198","207","146","75","63","199","178","11","22","48","73","0","18","110","145","30","50","80","88","0","18","0","18","0","18","43","50","37","43","0","18","0","18","0","18","0","18","0","18","0","18",
"1400000US18105000501","Census Tract 5.01; Monroe County; Indiana","3519","411","192","126","1040","242","1080","281","658","237","549","224","2937","442","102","71","955","242","842","288","579","227","459","183","400","239","85","107","69","38","198","156","44","50","4","8","91","85","0","13","16","39","40","41","35","51","0","13","91","95","5","9","0","13","0","13","0","13","86","94","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105000502","Census Tract 5.02; Monroe County; Indiana","2470","319","164","72","775","219","687","159","534","152","310","121","2199","337","97","55","714","224","648","159","458","149","282","120","182","102","58","45","61","44","0","13","48","54","15","20","57","49","0","13","0","13","24","26","20","21","13","18","17","20","9","13","0","13","0","13","8","14","0","13","15","21","0","13","0","13","15","21","0","13","0","13",
"1400000US18105000601","Census Tract 6.01; Monroe County; Indiana","2588","461","282","220","516","142","623","267","543","171","624","191","2010","401","131","73","435","146","558","268","433","141","453","167","311","139","15","22","56","37","39","48","78","60","123","104","178","120","75","104","25","26","23","25","22","25","33","52","89","66","61","63","0","13","3","8","10","16","15","27","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105000602","Census Tract 6.02; Monroe County; Indiana","1850","296","164","98","546","159","766","232","261","108","113","68","1565","290","163","98","481","147","627","210","211","96","83","64","137","96","1","4","10","15","78","68","18","24","30","42","32","53","0","13","0","13","0","13","32","53","0","13","116","109","0","13","55","65","61","100","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US18105000700","Census Tract 7; Monroe County; Indiana","2252","262","113","72","292","94","677","258","573","173","597","167","1910","244","81","60","276","92","537","183","464","154","552","160","76","60","7","11","8","15","7","11","48","53","6","11","169","137","0","13","8","15","113","124","20","32","28","48","57","53","0","13","0","13","5","8","41","51","11","18","40","53","25","36","0","13","15","19","0","13","0","13",
"1400000US18105000801","Census Tract 8.01; Monroe County; Indiana","2059","379","31","46","260","119","311","129","499","139","958","338","1850","395","0","13","236","121","292","128","424","130","898","336","206","158","31","46","24","36","19","29","74","67","58","65","0","13","0","13","0","13","0","13","0","13","0","13","1","2","0","13","0","13","0","13","1","2","0","13","2","13","0","13","0","13","0","13","0","13","2","13",
"1400000US18105000802","Census Tract 8.02; Monroe County; Indiana","2412","350","63","54","368","175","332","117","569","146","1080","261","1865","315","62","54","341","172","235","102","370","120","857","201","342","189","1","4","14","23","77","65","101","84","149","177","49","39","0","13","13","23","20","24","16","28","0","13","97","81","0","13","0","13","0","13","41","42","56","57","59","71","0","13","0","13","0","13","41","47","18","30",
"1400000US18105000901","Census Tract 9.01; Monroe County; Indiana","1381","192","43","43","80","48","172","95","431","129","655","179","1235","188","38","42","78","48","162","95","368","110","589","166","100","62","5","8","1","4","0","13","39","41","55","50","13","20","0","13","1","3","0","13","12","20","0","13","33","38","0","13","0","13","10","17","12","18","11","18","0","13","0","13","0","13","0","13","0","13","0","13",
