"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C02_001E","S1902_C02_001M","S1902_C01_002E","S1902_C01_002M","S1902_C02_002E","S1902_C02_002M","S1902_C01_003E","S1902_C01_003M","S1902_C02_003E","S1902_C02_003M","S1902_C01_004E","S1902_C01_004M","S1902_C02_004E","S1902_C02_004M","S1902_C01_005E","S1902_C01_005M","S1902_C02_005E","S1902_C02_005M","S1902_C01_006E","S1902_C01_006M","S1902_C02_006E","S1902_C02_006M","S1902_C01_007E","S1902_C01_007M","S1902_C02_007E","S1902_C02_007M","S1902_C01_008E","S1902_C01_008M","S1902_C02_008E","S1902_C02_008M","S1902_C01_009E","S1902_C01_009M","S1902_C02_009E","S1902_C02_009M","S1902_C01_010E","S1902_C01_010M","S1902_C02_010E","S1902_C02_010M","S1902_C01_011E","S1902_C01_011M","S1902_C02_011E","S1902_C02_011M","S1902_C01_012E","S1902_C01_012M","S1902_C02_012E","S1902_C02_012M","S1902_C01_013E","S1902_C01_013M","S1902_C02_013E","S1902_C02_013M","S1902_C01_014E","S1902_C01_014M","S1902_C02_014E","S1902_C02_014M","S1902_C01_015E","S1902_C01_015M","S1902_C02_015E","S1902_C02_015M","S1902_C01_016E","S1902_C01_016M","S1902_C02_016E","S1902_C02_016M","S1902_C01_017E","S1902_C01_017M","S1902_C02_017E","S1902_C02_017M","S1902_C01_018E","S1902_C01_018M","S1902_C02_018E","S1902_C02_018M","S1902_C01_019E","S1902_C01_019M","S1902_C02_019E","S1902_C02_019M","S1902_C01_020E","S1902_C01_020M","S1902_C02_020E","S1902_C02_020M","S1902_C01_021E","S1902_C01_021M","S1902_C02_021E","S1902_C02_021M","S1902_C01_022E","S1902_C01_022M","S1902_C02_022E","S1902_C02_022M","S1902_C01_023E","S1902_C01_023M","S1902_C02_023E","S1902_C02_023M","S1902_C01_024E","S1902_C01_024M","S1902_C02_024E","S1902_C02_024M","S1902_C01_025E","S1902_C01_025M","S1902_C02_025E","S1902_C02_025M","S1902_C01_026E","S1902_C01_026M","S1902_C02_026E","S1902_C02_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_027E","S1902_C02_027M",
"Geography","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Total!!Estimate!!With earnings","Total!!Margin of Error!!With earnings","Mean income (dollars)!!Estimate!!With earnings","Mean income (dollars)!!Margin of Error!!With earnings","Total!!Estimate!!With interest, dividends, or net rental income","Total!!Margin of Error!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!With interest, dividends, or net rental income","Total!!Estimate!!With Social Security income","Total!!Margin of Error!!With Social Security income","Mean income (dollars)!!Estimate!!With Social Security income","Mean income (dollars)!!Margin of Error!!With Social Security income","Total!!Estimate!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!With Supplemental Security Income (SSI)","Total!!Estimate!!With cash public assistance income","Total!!Margin of Error!!With cash public assistance income","Mean income (dollars)!!Estimate!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!With cash public assistance income","Total!!Estimate!!With retirement income","Total!!Margin of Error!!With retirement income","Mean income (dollars)!!Estimate!!With retirement income","Mean income (dollars)!!Margin of Error!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months",
"0500000US18105","Monroe County, Indiana","51388","916","54722","1832","81.3","1.0","53289","1950","27.4","1.3","11608","1803","21.1","0.7","16206","465","2.1","0.4","8704","742","1.7","0.4","2253","631","14.1","0.9","24289","3055","26849","744","76216","3020","12.7","1.2","51015","6403","30.5","1.9","57877","4246","41.5","1.8","98453","5940","8.4","1.2","54084","6192","5.8","0.9","101112","8091","1.1","0.4","75434","11768","134442","-555555555","21882","710","88.4","0.3","23012","745","3.4","0.2","14571","2552","0.3","0.1","19358","15771","5.2","0.2","12400","2140","0.0","0.1","N","N","0.9","0.3","10520","2504","1.8","0.3","13643","3685","2.8","*****","15489","2925","86.7","0.2","23103","767","22.2","-888888888.0","(X)","(X)","19.0","-888888888.0","(X)","(X)","18.8","-888888888.0","(X)","(X)",
"1400000US18105000100","Census Tract 1, Monroe County, Indiana","1739","225","22939","10630","85.9","5.5","23851","12316","16.3","5.8","428","397","4.4","3.0","6159","4863","1.9","2.0","7997","222","2.0","2.0","1306","519","1.2","1.0","132865","102547","99","42","191459","164089","0.0","27.4","N","N","21.2","24.7","N","N","78.8","24.7","N","N","0.0","27.4","N","N","0.0","27.4","N","N","0.0","27.4","N","N","4159","766","11383","5109","92.4","3.8","11604","5475","2.3","1.9","4243","2477","0.2","0.3","N","N","2.9","2.2","9268","2823","0.0","0.8","-","**","0.5","0.6","N","N","1.8","1.4","13775","15983","1.2","1.3","13178","7882","91.8","4.0","11540","5498","26.2","-888888888.0","(X)","(X)","8.1","-888888888.0","(X)","(X)","27.4","-888888888.0","(X)","(X)",
"1400000US18105000201","Census Tract 2.01, Monroe County, Indiana","727","114","20894","6531","70.4","9.9","27622","7928","14.6","7.8","227","179","1.7","2.2","31333","14","0.0","4.4","-","**","1.8","2.4","1538","1355","0.0","4.4","-","**","330","88","32366","12247","8.5","9.0","N","N","54.2","15.4","N","N","34.2","16.1","N","N","3.0","4.8","N","N","0.0","9.4","N","N","0.0","9.4","N","N","6903","946","4467","876","73.9","4.2","3173","498","1.6","0.9","6493","7290","0.2","0.3","N","N","22.1","4.3","8832","3209","0.0","0.5","-","**","0.9","0.7","2081","1827","1.4","0.9","3723","1749","2.4","1.3","2868","1780","72.2","4.1","3181","510","19.0","-888888888.0","(X)","(X)","25.5","-888888888.0","(X)","(X)","26.5","-888888888.0","(X)","(X)",
"1400000US18105000202","Census Tract 2.02, Monroe County, Indiana","174","60","9204","5499","79.3","18.5","10373","5631","18.4","16.9","2038","3351","0.0","17.0","-","**","4.0","7.3","4014","25","4.0","7.3","171","30","0.0","17.0","-","**","6","11","N","N","0.0","100.0","N","N","100.0","100.0","N","N","0.0","100.0","N","N","0.0","100.0","N","N","0.0","100.0","N","N","0.0","100.0","N","N","7530","953","3039","359","79.4","2.8","3247","432","8.2","2.1","2970","620","0.1","0.2","N","N","8.6","1.7","1329","404","0.0","0.4","-","**","1.0","0.5","4740","2703","2.7","1.3","1907","491","3.4","1.4","7491","5762","77.4","3.0","3058","345","23.6","-888888888.0","(X)","(X)","0.0","-888888888.0","(X)","(X)","25.7","-888888888.0","(X)","(X)",
"1400000US18105000301","Census Tract 3.01, Monroe County, Indiana","1963","145","37929","5671","85.3","4.4","34017","5109","29.3","7.1","8458","2911","11.8","2.7","17414","6801","0.0","1.6","-","**","1.6","2.4","-","**","9.4","4.1","38433","29131","451","112","72077","11746","3.8","5.1","N","N","15.5","12.8","N","N","68.7","16.0","N","N","12.0","10.4","N","N","0.0","6.9","N","N","0.0","6.9","N","N","4266","598","18353","3177","92.2","3.8","19403","3577","1.3","2.2","N","N","0.2","0.3","N","N","5.1","3.0","5154","2969","0.0","0.8","-","**","0.7","1.2","N","N","0.4","0.5","N","N","1.3","1.4","7259","10034","90.9","3.9","19578","3614","25.7","-888888888.0","(X)","(X)","19.5","-888888888.0","(X)","(X)","24.4","-888888888.0","(X)","(X)",
"1400000US18105000302","Census Tract 3.02, Monroe County, Indiana","1180","114","63327","8466","82.5","6.1","53853","7619","43.1","8.7","11030","4555","19.7","4.0","19284","2528","0.0","2.7","-","**","0.0","2.7","-","**","21.6","5.8","43356","11830","493","94","79707","12431","11.6","5.8","N","N","29.4","11.8","N","N","37.3","11.5","N","N","19.7","14.0","N","N","0.0","6.4","N","N","2.0","3.5","N","N","3043","382","26070","4672","93.9","3.4","26662","5062","0.0","1.1","-","**","0.0","1.1","-","**","2.8","2.2","20835","14399","0.0","1.1","-","**","2.5","2.6","N","N","0.8","0.9","N","N","4.8","3.4","30103","19000","91.7","4.2","25964","5024","30.2","-888888888.0","(X)","(X)","24.3","-888888888.0","(X)","(X)","18.5","-888888888.0","(X)","(X)",
"1400000US18105000401","Census Tract 4.01, Monroe County, Indiana","1787","132","32192","3335","80.3","6.0","32461","3544","18.7","6.2","3461","2052","25.2","6.0","12754","1626","3.2","2.3","6225","3114","4.0","3.1","383","189","15.1","4.4","8376","2904","556","143","42444","6545","7.7","5.1","28502","14737","51.4","10.9","30623","6832","35.1","11.3","64894","11452","5.8","6.2","30019","13671","0.0","5.7","-","**","0.0","5.7","-","**","3322","353","18466","1888","89.7","4.3","18049","2081","3.9","2.6","33103","9197","0.6","0.9","N","N","3.5","3.5","12822","10327","0.0","1.0","-","**","0.0","1.0","-","**","2.3","2.1","16477","11454","4.4","2.5","20621","4929","87.7","4.7","18019","2116","15.3","-888888888.0","(X)","(X)","3.6","-888888888.0","(X)","(X)","16.9","-888888888.0","(X)","(X)",
"1400000US18105000402","Census Tract 4.02, Monroe County, Indiana","1917","134","39333","3576","88.6","4.4","36474","4026","21.5","5.8","3881","2353","12.4","4.1","12254","2625","5.3","3.2","7324","1464","2.9","2.1","3100","1854","11.2","4.4","29495","13123","773","139","50146","6642","9.7","7.9","35677","23976","34.4","11.4","44481","11218","44.1","13.0","57028","10436","7.6","6.7","27832","17367","4.1","4.1","98959","34331","0.0","4.1","-","**","4186","504","19345","2510","75.5","6.2","21119","2818","15.3","5.9","13508","6200","0.2","0.4","N","N","3.9","2.4","16246","5726","0.6","0.9","N","N","0.9","1.3","N","N","3.6","2.7","12011","7680","3.0","2.2","16389","8859","74.2","6.2","21232","2861","19.0","-888888888.0","(X)","(X)","22.6","-888888888.0","(X)","(X)","17.5","-888888888.0","(X)","(X)",
"1400000US18105000501","Census Tract 5.01, Monroe County, Indiana","1762","125","50274","3912","84.1","4.1","48720","4327","24.4","5.6","3870","3856","25.1","3.6","16615","2019","2.0","1.5","12694","3021","3.1","2.3","2187","2285","21.7","4.7","13934","2891","1226","108","57980","5053","11.6","4.7","N","N","44.4","8.6","N","N","30.9","6.3","N","N","8.6","4.8","N","N","2.4","2.8","N","N","2.1","2.0","N","N","4651","355","20153","1671","86.6","5.1","19755","1496","6.3","3.2","31112","12093","0.0","0.7","-","**","2.1","1.9","23023","6719","0.0","0.7","-","**","1.1","0.9","17774","32005","3.9","3.0","10523","8977","5.7","3.0","16253","11362","82.0","5.2","19964","1498","15.6","-888888888.0","(X)","(X)","15.8","-888888888.0","(X)","(X)","12.6","-888888888.0","(X)","(X)",
