"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Graduate or professional degree","Margin of Error!!Total!!Graduate or professional degree","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Same house 1 year ago!!Less than high school graduate","Margin of Error!!Total!!Same house 1 year ago!!Less than high school graduate","Estimate!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Margin of Error!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Estimate!!Total!!Same house 1 year ago!!Some college or associate's degree","Margin of Error!!Total!!Same house 1 year ago!!Some college or associate's degree","Estimate!!Total!!Same house 1 year ago!!Bachelor's degree","Margin of Error!!Total!!Same house 1 year ago!!Bachelor's degree","Estimate!!Total!!Same house 1 year ago!!Graduate or professional degree","Margin of Error!!Total!!Same house 1 year ago!!Graduate or professional degree","Estimate!!Total!!Moved within same county","Margin of Error!!Total!!Moved within same county","Estimate!!Total!!Moved within same county!!Less than high school graduate","Margin of Error!!Total!!Moved within same county!!Less than high school graduate","Estimate!!Total!!Moved within same county!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved within same county!!High school graduate (includes equivalency)","Estimate!!Total!!Moved within same county!!Some college or associate's degree","Margin of Error!!Total!!Moved within same county!!Some college or associate's degree","Estimate!!Total!!Moved within same county!!Bachelor's degree","Margin of Error!!Total!!Moved within same county!!Bachelor's degree","Estimate!!Total!!Moved within same county!!Graduate or professional degree","Margin of Error!!Total!!Moved within same county!!Graduate or professional degree","Estimate!!Total!!Moved from different county within same state","Margin of Error!!Total!!Moved from different county within same state","Estimate!!Total!!Moved from different county within same state!!Less than high school graduate","Margin of Error!!Total!!Moved from different county within same state!!Less than high school graduate","Estimate!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different county within same state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different county within same state!!Some college or associate's degree","Estimate!!Total!!Moved from different county within same state!!Bachelor's degree","Margin of Error!!Total!!Moved from different county within same state!!Bachelor's degree","Estimate!!Total!!Moved from different county within same state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different county within same state!!Graduate or professional degree","Estimate!!Total!!Moved from different state","Margin of Error!!Total!!Moved from different state","Estimate!!Total!!Moved from different state!!Less than high school graduate","Margin of Error!!Total!!Moved from different state!!Less than high school graduate","Estimate!!Total!!Moved from different state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different state!!Some college or associate's degree","Estimate!!Total!!Moved from different state!!Bachelor's degree","Margin of Error!!Total!!Moved from different state!!Bachelor's degree","Estimate!!Total!!Moved from different state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different state!!Graduate or professional degree","Estimate!!Total!!Moved from abroad","Margin of Error!!Total!!Moved from abroad","Estimate!!Total!!Moved from abroad!!Less than high school graduate","Margin of Error!!Total!!Moved from abroad!!Less than high school graduate","Estimate!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from abroad!!Some college or associate's degree","Margin of Error!!Total!!Moved from abroad!!Some college or associate's degree","Estimate!!Total!!Moved from abroad!!Bachelor's degree","Margin of Error!!Total!!Moved from abroad!!Bachelor's degree","Estimate!!Total!!Moved from abroad!!Graduate or professional degree","Margin of Error!!Total!!Moved from abroad!!Graduate or professional degree",
"0500000US18105","Monroe County, Indiana","73100","100","6478","603","17727","801","17705","837","15824","767","15366","829","58952","918","5390","531","15145","780","14106","734","11935","736","12376","697","7523","726","637","185","1626","283","2073","422","1785","386","1402","302","2580","479","284","157","674","216","865","280","536","187","221","113","3059","484","105","62","261","148","495","167","1150","293","1048","241","986","221","62","65","21","20","166","88","418","141","319","167",
"1400000US18105000100","Census Tract 1, Monroe County, Indiana","1270","276","109","79","185","131","223","107","322","121","431","162","634","115","46","36","78","73","114","66","125","82","271","101","409","189","50","52","54","43","91","77","66","50","148","129","86","65","0","119","38","51","18","22","18","20","12","23","107","72","13","21","15","24","0","119","79","65","0","119","34","41","0","119","0","119","0","119","34","41","0","119",
"1400000US18105000201","Census Tract 2.01, Monroe County, Indiana","1132","241","42","68","25","34","113","67","453","166","499","160","481","134","0","119","13","22","36","31","164","100","268","95","93","78","0","119","12","26","39","45","42","40","0","119","25","41","25","41","0","119","0","119","0","119","0","119","159","112","17","27","0","119","0","119","54","50","88","61","374","149","0","119","0","119","38","45","193","117","143","100",
"1400000US18105000202","Census Tract 2.02, Monroe County, Indiana","203","82","0","119","19","24","92","66","67","48","25","25","60","41","0","119","7","13","14","22","30","30","9","14","25","26","0","119","12","21","0","119","13","17","0","119","43","42","0","119","0","119","43","42","0","119","0","119","11","13","0","119","0","119","0","119","11","13","0","119","64","39","0","119","0","119","35","33","13","21","16","21",
"1400000US18105000301","Census Tract 3.01, Monroe County, Indiana","1908","215","120","89","244","111","375","137","611","171","558","160","1532","200","79","78","213","106","284","115","498","176","458","154","193","114","0","119","0","119","72","79","51","37","70","55","133","113","41","55","12","20","19","22","31","50","30","50","50","55","0","119","19","30","0","119","31","48","0","119","0","119","0","119","0","119","0","119","0","119","0","119",
"1400000US18105000302","Census Tract 3.02, Monroe County, Indiana","1680","205","50","69","169","63","334","162","374","103","753","157","1320","158","7","13","161","63","275","149","264","95","613","130","119","81","0","119","0","119","0","119","47","45","72","67","59","50","21","33","0","119","7","12","31","36","0","119","151","95","22","36","0","119","52","73","22","21","55","57","31","39","0","119","8","12","0","119","10","16","13","20",
"1400000US18105000401","Census Tract 4.01, Monroe County, Indiana","2107","218","262","86","680","181","407","135","510","145","248","95","1571","198","244","83","544","144","264","102","332","148","187","84","248","116","18","27","96","70","42","40","66","49","26","32","160","89","0","119","40","45","42","50","63","56","15","20","99","101","0","119","0","119","47","52","32","47","20","23","29","33","0","119","0","119","12","20","17","28","0","119",
"1400000US18105000402","Census Tract 4.02, Monroe County, Indiana","2448","316","252","124","419","139","767","221","590","217","420","124","1369","225","166","80","242","80","317","117","310","130","334","117","575","203","49","44","47","52","261","159","156","90","62","58","308","239","0","119","63","54","157","154","88","84","0","119","159","121","0","119","67","106","32","53","36","43","24","25","37","57","37","57","0","119","0","119","0","119","0","119",
"1400000US18105000501","Census Tract 5.01, Monroe County, Indiana","3124","233","348","147","1008","197","967","163","543","140","258","88","2343","221","238","105","736","157","783","151","423","96","163","77","492","142","88","62","171","94","117","66","48","33","68","54","171","105","10","16","87","88","55","45","8","14","11","18","90","100","0","119","14","20","12","19","64","94","0","119","28","32","12","18","0","119","0","119","0","119","16","26",
