"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Graduate or professional degree","Margin of Error!!Total!!Graduate or professional degree","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Same house 1 year ago!!Less than high school graduate","Margin of Error!!Total!!Same house 1 year ago!!Less than high school graduate","Estimate!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Margin of Error!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Estimate!!Total!!Same house 1 year ago!!Some college or associate's degree","Margin of Error!!Total!!Same house 1 year ago!!Some college or associate's degree","Estimate!!Total!!Same house 1 year ago!!Bachelor's degree","Margin of Error!!Total!!Same house 1 year ago!!Bachelor's degree","Estimate!!Total!!Same house 1 year ago!!Graduate or professional degree","Margin of Error!!Total!!Same house 1 year ago!!Graduate or professional degree","Estimate!!Total!!Moved within same county","Margin of Error!!Total!!Moved within same county","Estimate!!Total!!Moved within same county!!Less than high school graduate","Margin of Error!!Total!!Moved within same county!!Less than high school graduate","Estimate!!Total!!Moved within same county!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved within same county!!High school graduate (includes equivalency)","Estimate!!Total!!Moved within same county!!Some college or associate's degree","Margin of Error!!Total!!Moved within same county!!Some college or associate's degree","Estimate!!Total!!Moved within same county!!Bachelor's degree","Margin of Error!!Total!!Moved within same county!!Bachelor's degree","Estimate!!Total!!Moved within same county!!Graduate or professional degree","Margin of Error!!Total!!Moved within same county!!Graduate or professional degree","Estimate!!Total!!Moved from different county within same state","Margin of Error!!Total!!Moved from different county within same state","Estimate!!Total!!Moved from different county within same state!!Less than high school graduate","Margin of Error!!Total!!Moved from different county within same state!!Less than high school graduate","Estimate!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different county within same state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different county within same state!!Some college or associate's degree","Estimate!!Total!!Moved from different county within same state!!Bachelor's degree","Margin of Error!!Total!!Moved from different county within same state!!Bachelor's degree","Estimate!!Total!!Moved from different county within same state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different county within same state!!Graduate or professional degree","Estimate!!Total!!Moved from different state","Margin of Error!!Total!!Moved from different state","Estimate!!Total!!Moved from different state!!Less than high school graduate","Margin of Error!!Total!!Moved from different state!!Less than high school graduate","Estimate!!Total!!Moved from different state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different state!!Some college or associate's degree","Estimate!!Total!!Moved from different state!!Bachelor's degree","Margin of Error!!Total!!Moved from different state!!Bachelor's degree","Estimate!!Total!!Moved from different state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different state!!Graduate or professional degree","Estimate!!Total!!Moved from abroad","Margin of Error!!Total!!Moved from abroad","Estimate!!Total!!Moved from abroad!!Less than high school graduate","Margin of Error!!Total!!Moved from abroad!!Less than high school graduate","Estimate!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from abroad!!Some college or associate's degree","Margin of Error!!Total!!Moved from abroad!!Some college or associate's degree","Estimate!!Total!!Moved from abroad!!Bachelor's degree","Margin of Error!!Total!!Moved from abroad!!Bachelor's degree","Estimate!!Total!!Moved from abroad!!Graduate or professional degree","Margin of Error!!Total!!Moved from abroad!!Graduate or professional degree",
"0500000US18105","Monroe County, Indiana","81878","74","6632","563","17854","833","19894","800","19422","876","18076","836","67215","878","5382","491","15040","803","16397","661","15170","817","15226","725","8318","765","630","167","1581","353","2345","377","2326","383","1436","342","2725","432","354","174","788","192","615","190","671","195","297","108","2572","373","241","144","321","132","473","162","776","208","761","194","1048","312","25","28","124","77","64","69","479","194","356","171",
"1400000US18105000100","Census Tract 1, Monroe County, Indiana","1659","355","276","148","269","142","279","137","432","180","403","200","868","256","153","95","142","112","102","79","224","117","247","142","352","206","43","29","60","47","132","106","88","102","29","35","183","141","40","63","53","66","26","22","26","22","38","59","183","118","40","64","14","25","19","30","21","33","89","80","73","95","0","16","0","16","0","16","73","95","0","16",
"1400000US18105000201","Census Tract 2.01, Monroe County, Indiana","987","390","20","24","15","15","174","88","359","269","419","145","430","152","20","24","0","16","44","30","191","170","175","78","331","257","0","16","0","16","85","72","108","96","138","161","42","34","0","16","7","13","25","25","10","20","0","16","75","52","0","16","3","6","20","25","17","30","35","28","109","59","0","16","5","7","0","16","33","31","71","36",
"1400000US18105000202","Census Tract 2.02, Monroe County, Indiana","104","58","5","7","8","12","26","33","27","27","38","34","53","39","0","16","8","12","0","16","15","21","30","32","9","9","5","7","0","16","0","16","0","16","4","6","16","23","0","16","0","16","7","15","9","18","0","16","21","30","0","16","0","16","14","27","3","6","4","6","5","10","0","16","0","16","5","10","0","16","0","16",
"1400000US18105000301","Census Tract 3.01, Monroe County, Indiana","2157","262","52","44","118","79","342","132","811","171","834","199","1452","222","42","40","92","67","261","107","480","151","577","135","392","161","5","11","26","39","53","75","204","116","104","83","84","69","5","11","0","11","11","19","49","52","19","32","175","110","0","11","0","11","17","27","71","78","87","75","54","59","0","11","0","11","0","11","7","14","47","55",
"1400000US18105000302","Census Tract 3.02, Monroe County, Indiana","1711","172","46","36","86","59","146","69","428","112","1005","146","1380","139","18","21","72","54","80","39","322","98","888","119","119","87","0","11","0","11","27","29","34","31","58","71","88","95","15","21","0","11","39","46","30","47","4","8","78","48","0","11","0","11","0","11","27","32","51","40","46","32","13","21","14","21","0","11","15","18","4","8",
"1400000US18105000401","Census Tract 4.01, Monroe County, Indiana","2424","354","314","211","557","179","712","243","510","172","331","124","1761","347","247","201","440","160","518","233","292","108","264","103","550","250","67","74","78","91","194","129","161","131","50","47","5","7","0","11","5","7","0","11","0","11","0","11","68","78","0","11","34","55","0","11","17","27","17","28","40","47","0","11","0","11","0","11","40","47","0","11",
"1400000US18105000402","Census Tract 4.02, Monroe County, Indiana","3114","306","172","95","631","187","794","197","926","170","591","184","2103","257","154","95","551","166","460","116","572","151","366","118","528","199","0","11","47","57","197","107","206","104","78","53","197","105","0","11","33","37","36","43","85","65","43","40","225","131","18","29","0","11","101","77","63","51","43","59","61","83","0","11","0","11","0","11","0","11","61","83",
"1400000US18105000501","Census Tract 5.01, Monroe County, Indiana","3116","206","277","102","1120","188","876","152","562","129","281","108","2832","211","249","107","1043","187","825","141","495","129","220","94","121","90","7","17","0","11","51","46","17","22","46","50","149","104","14","30","70","57","0","11","50","44","15","22","14","30","7","15","7","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1400000US18105000502","Census Tract 5.02, Monroe County, Indiana","2300","229","253","93","820","188","805","167","336","111","86","51","1898","182","246","92","643","153","693","151","231","78","85","50","251","153","0","11","77","80","104","71","70","67","0","11","73","75","0","11","65","75","8","11","0","11","0","11","9","13","7","10","0","11","0","11","1","4","1","4","69","107","0","11","35","54","0","11","34","53","0","11",
"1400000US18105000601","Census Tract 6.01, Monroe County, Indiana","2386","280","299","88","604","157","674","149","488","162","321","97","1716","245","226","79","400","143","530","134","314","111","246","79","420","185","33","28","117","73","88","62","134","107","48","34","151","104","24","38","67","72","34","32","8","12","18","20","99","65","16","18","20","22","22","23","32","48","9","15","0","11","0","11","0","11","0","11","0","11","0","11",
"1400000US18105000602","Census Tract 6.02, Monroe County, Indiana","1467","199","297","135","278","113","423","129","309","105","160","91","1028","170","167","119","189","90","341","114","197","76","134","82","291","126","91","70","55","52","61","50","58","53","26","42","88","76","31","35","34","38","15","17","8","13","0","11","60","29","8","11","0","11","6","10","46","28","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1400000US18105000700","Census Tract 7, Monroe County, Indiana","2215","207","183","79","438","128","613","131","536","124","445","109","1958","222","128","61","403","122","523","128","479","119","425","109","190","104","35","40","35","42","81","65","28","30","11","18","54","43","20","22","0","11","9","14","16","25","9","13","0","11","0","11","0","11","0","11","0","11","0","11","13","20","0","11","0","11","0","11","13","20","0","11",
"1400000US18105000800","Census Tract 8, Monroe County, Indiana","3755","401","107","71","501","154","614","153","1043","231","1490","273","2927","356","77","50","449","155","557","140","759","186","1085","196","499","233","30","47","28","40","57","70","134","85","250","190","1","2","0","16","1","2","0","16","0","16","0","16","151","117","0","16","0","16","0","16","46","53","105","103","177","123","0","16","23","39","0","16","104","101","50","75",
"1400000US18105000901","Census Tract 9.01, Monroe County, Indiana","1688","253","63","51","228","106","339","148","479","193","579","104","1322","247","40","45","185","87","225","119","365","181","507","94","313","169","11","16","40","65","114","90","105","96","43","34","19","22","0","11","3","4","0","11","9","11","7","11","10","18","0","11","0","11","0","11","0","11","10","18","24","38","12","18","0","11","0","11","0","11","12","20",
