"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C02_001E","S1902_C02_001M","S1902_C01_002E","S1902_C01_002M","S1902_C02_002E","S1902_C02_002M","S1902_C01_003E","S1902_C01_003M","S1902_C02_003E","S1902_C02_003M","S1902_C01_004E","S1902_C01_004M","S1902_C02_004E","S1902_C02_004M","S1902_C01_005E","S1902_C01_005M","S1902_C02_005E","S1902_C02_005M","S1902_C01_006E","S1902_C01_006M","S1902_C02_006E","S1902_C02_006M","S1902_C01_007E","S1902_C01_007M","S1902_C02_007E","S1902_C02_007M","S1902_C01_008E","S1902_C01_008M","S1902_C02_008E","S1902_C02_008M","S1902_C01_009E","S1902_C01_009M","S1902_C02_009E","S1902_C02_009M","S1902_C01_010E","S1902_C01_010M","S1902_C02_010E","S1902_C02_010M","S1902_C01_011E","S1902_C01_011M","S1902_C02_011E","S1902_C02_011M","S1902_C01_012E","S1902_C01_012M","S1902_C02_012E","S1902_C02_012M","S1902_C01_013E","S1902_C01_013M","S1902_C02_013E","S1902_C02_013M","S1902_C01_014E","S1902_C01_014M","S1902_C02_014E","S1902_C02_014M","S1902_C01_015E","S1902_C01_015M","S1902_C02_015E","S1902_C02_015M","S1902_C01_016E","S1902_C01_016M","S1902_C02_016E","S1902_C02_016M","S1902_C01_017E","S1902_C01_017M","S1902_C02_017E","S1902_C02_017M","S1902_C01_018E","S1902_C01_018M","S1902_C02_018E","S1902_C02_018M","S1902_C01_019E","S1902_C01_019M","S1902_C02_019E","S1902_C02_019M","S1902_C01_020E","S1902_C01_020M","S1902_C02_020E","S1902_C02_020M","S1902_C01_021E","S1902_C01_021M","S1902_C02_021E","S1902_C02_021M","S1902_C01_022E","S1902_C01_022M","S1902_C02_022E","S1902_C02_022M","S1902_C01_023E","S1902_C01_023M","S1902_C02_023E","S1902_C02_023M","S1902_C01_024E","S1902_C01_024M","S1902_C02_024E","S1902_C02_024M","S1902_C01_025E","S1902_C01_025M","S1902_C02_025E","S1902_C02_025M","S1902_C01_026E","S1902_C01_026M","S1902_C02_026E","S1902_C02_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_027E","S1902_C02_027M",
"Geography","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months",
"0500000US18105","Monroe County, Indiana","54165","810","61024","1886","81.7","1.1","58920","1739","23.5","1.2","16281","2829","23.3","0.8","18365","544","3.1","0.5","8938","764","1.4","0.3","2725","814","14.3","0.9","24951","2574","27809","717","81949","3157","13.7","1.4","53983","9161","32.0","1.8","64609","5193","38.4","1.9","104759","4894","7.3","1.2","60854","8004","6.4","0.9","107649","10377","2.2","0.7","105705","40003","142404","*****","24266","638","86.8","0.3","25690","703","2.9","0.2","19383","4175","0.4","0.2","18248","4034","6.1","0.2","13904","1821","0.0","0.1","35683","24756","0.8","0.2","14499","3069","2.9","0.3","11750","2864","3.2","*****","16201","3521","84.8","0.1","25897","738","25.2","(X)","(X)","(X)","22.7","(X)","(X)","(X)","25.8","(X)","(X)","(X)",
"1400000US18105000100","Census Tract 1, Monroe County, Indiana","2267","212","24863","5671","89.5","5.4","21551","4009","13.1","5.2","21003","29484","5.8","4.0","21546","4716","1.8","1.6","5385","315","0.6","0.8","N","N","3.7","3.0","30958","25194","347","140","70730","31635","6.1","9.7","N","N","40.1","23.9","N","N","29.1","15.5","N","N","24.8","18.6","N","N","0.0","8.3","N","N","0.0","8.3","N","N","5554","692","11928","2972","90.1","4.0","11841","3158","1.6","0.9","14063","13064","0.0","0.5","-","**","6.2","3.7","15603","12495","0.0","0.5","-","**","0.2","0.4","N","N","1.8","1.5","2971","3873","3.2","2.0","27776","31161","87.3","4.3","11199","3355","40.3","(X)","(X)","(X)","53.6","(X)","(X)","(X)","36.6","(X)","(X)","(X)",
"1400000US18105000201","Census Tract 2.01, Monroe County, Indiana","249","50","20078","5204","75.5","11.8","22685","5919","17.3","9.1","649","1363","1.6","2.1","N","N","0.0","11.3","-","**","0.0","11.3","-","**","0.0","11.3","-","**","111","35","17056","3637","24.3","20.0","N","N","49.5","24.8","N","N","20.7","15.2","N","N","5.4","7.2","N","N","0.0","23.4","N","N","0.0","23.4","N","N","6204","733","4393","873","75.9","3.8","3660","718","2.1","1.0","8396","4027","0.0","0.5","-","**","20.4","4.1","6830","1976","0.0","0.5","-","**","0.2","0.3","N","N","1.5","0.8","2932","2799","3.4","1.7","2626","1519","73.0","4.1","3694","732","9.6","(X)","(X)","(X)","5.4","(X)","(X)","(X)","56.0","(X)","(X)","(X)",
"1400000US18105000202","Census Tract 2.02, Monroe County, Indiana","33","16","35861","29840","100.0","49.6","35764","29833","0.0","49.6","-","**","0.0","49.6","-","**","0.0","49.6","-","**","0.0","49.6","-","**","0.0","49.6","-","**","15","15","34247","52720","0.0","73.6","N","N","20.0","33.7","N","N","20.0","47.7","N","N","60.0","60.0","N","N","0.0","73.6","N","N","0.0","73.6","N","N","6559","606","2894","330","84.3","3.5","2903","325","3.6","1.5","4202","3879","0.0","0.5","-","**","9.4","2.4","2693","1191","0.0","0.5","-","**","0.6","0.6","2545","805","2.1","1.1","1280","869","5.4","1.6","3170","1237","79.6","3.8","2877","334","48.5","(X)","(X)","(X)","80.0","(X)","(X)","(X)","57.6","(X)","(X)","(X)",
"1400000US18105000301","Census Tract 3.01, Monroe County, Indiana","1998","147","48057","8713","89.5","3.9","42788","6288","24.1","5.1","19595","18115","10.9","3.4","20035","3294","1.3","1.3","N","N","0.5","0.8","N","N","8.8","2.8","22057","10549","571","146","62517","12495","7.5","6.0","47935","12841","36.4","15.1","38197","20221","40.1","12.2","82953","14084","8.2","7.5","51281","52324","7.7","5.9","97380","34711","0.0","5.1","-","**","4790","535","21731","3998","84.9","6.1","23324","4499","5.0","4.2","19190","10232","0.0","0.6","-","**","2.5","1.8","9123","6032","0.0","0.6","-","**","0.6","1.2","N","N","7.0","4.7","8579","3553","4.1","2.3","14438","4780","81.6","6.0","23736","4679","26.8","(X)","(X)","(X)","4.9","(X)","(X)","(X)","27.6","(X)","(X)","(X)",
"1400000US18105000302","Census Tract 3.02, Monroe County, Indiana","1129","83","84679","14343","81.3","3.9","72211","12410","40.8","8.0","20375","9746","21.3","3.1","21662","3264","1.5","1.6","N","N","0.0","2.6","-","**","13.6","4.2","88536","65692","521","81","127796","21385","16.7","5.7","N","N","12.3","6.9","N","N","54.5","10.0","N","N","7.1","6.6","N","N","5.0","5.0","N","N","4.4","7.2","N","N","3270","410","30415","5665","92.9","3.0","29453","4773","0.5","0.6","N","N","0.9","1.6","N","N","3.7","2.3","10437","6373","0.4","0.6","-","**","0.4","0.4","N","N","1.3","1.0","5515","6066","1.5","1.1","2339","961","91.8","3.2","29792","4891","26.1","(X)","(X)","(X)","20.5","(X)","(X)","(X)","27.8","(X)","(X)","(X)",
"1400000US18105000401","Census Tract 4.01, Monroe County, Indiana","1933","160","46852","7323","84.6","5.7","43996","7200","16.3","5.6","26258","33100","23.5","6.2","13784","2171","2.4","2.0","7722","4025","4.3","2.9","3108","2419","9.9","4.5","14225","3899","850","172","52741","9678","9.6","8.2","N","N","41.8","11.1","N","N","25.1","9.8","N","N","15.5","9.3","N","N","3.5","4.4","N","N","4.5","7.3","N","N","4373","519","22265","3788","87.7","4.9","23479","4030","4.8","3.4","21919","20970","0.7","1.0","N","N","3.1","2.4","11115","14959","0.0","0.7","-","**","1.0","1.0","4962","2972","2.8","2.0","4234","4458","8.0","3.5","7320","5683","81.2","5.6","24718","4422","34.5","(X)","(X)","(X)","36.6","(X)","(X)","(X)","35.2","(X)","(X)","(X)",
"1400000US18105000402","Census Tract 4.02, Monroe County, Indiana","2192","144","46690","4978","85.4","4.4","48289","5885","12.2","5.2","5228","2458","16.4","4.2","13856","1740","4.0","2.5","7066","2510","1.0","1.1","N","N","7.3","2.9","13798","5552","933","151","48068","8044","15.5","8.3","14020","7228","32.5","9.9","32621","6896","34.0","9.4","60781","10435","10.3","6.0","53909","15586","7.7","6.5","117888","50877","0.0","3.2","-","**","4605","396","22882","2848","81.9","5.2","22998","3129","5.3","2.7","24550","8737","0.0","0.6","-","**","7.8","4.3","18571","10720","0.0","0.6","-","**","1.1","0.9","39292","13931","3.9","2.1","22098","13317","4.9","2.4","16738","8280","78.2","5.6","23623","3223","24.0","(X)","(X)","(X)","21.7","(X)","(X)","(X)","18.3","(X)","(X)","(X)",
"1400000US18105000501","Census Tract 5.01, Monroe County, Indiana","1955","136","48572","4337","81.7","4.6","48386","4726","22.3","5.0","4313","1370","25.2","4.3","15114","1693","6.0","3.6","7991","2263","2.7","1.8","1649","773","19.5","4.6","14460","4352","1096","108","53729","5835","11.9","5.4","N","N","43.0","8.4","N","N","32.7","8.0","N","N","7.9","3.9","N","N","0.8","1.3","N","N","3.7","4.2","N","N","4452","298","22308","2255","88.9","3.4","22967","2472","4.2","2.3","11543","4508","0.0","0.7","-","**","2.8","1.7","27530","13990","0.0","0.7","-","**","0.2","0.3","N","N","3.8","2.0","15924","10839","2.2","1.5","13318","9280","87.5","3.5","23026","2510","17.4","(X)","(X)","(X)","20.3","(X)","(X)","(X)","18.9","(X)","(X)","(X)",
