"GEO_ID","NAME","B07009_001E","B07009_001M","B07009_002E","B07009_002M","B07009_003E","B07009_003M","B07009_004E","B07009_004M","B07009_005E","B07009_005M","B07009_006E","B07009_006M","B07009_007E","B07009_007M","B07009_008E","B07009_008M","B07009_009E","B07009_009M","B07009_010E","B07009_010M","B07009_011E","B07009_011M","B07009_012E","B07009_012M","B07009_013E","B07009_013M","B07009_014E","B07009_014M","B07009_015E","B07009_015M","B07009_016E","B07009_016M","B07009_017E","B07009_017M","B07009_018E","B07009_018M","B07009_019E","B07009_019M","B07009_020E","B07009_020M","B07009_021E","B07009_021M","B07009_022E","B07009_022M","B07009_023E","B07009_023M","B07009_024E","B07009_024M","B07009_025E","B07009_025M","B07009_026E","B07009_026M","B07009_027E","B07009_027M","B07009_028E","B07009_028M","B07009_029E","B07009_029M","B07009_030E","B07009_030M","B07009_031E","B07009_031M","B07009_032E","B07009_032M","B07009_033E","B07009_033M","B07009_034E","B07009_034M","B07009_035E","B07009_035M","B07009_036E","B07009_036M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than high school graduate","Margin of Error!!Total!!Less than high school graduate","Estimate!!Total!!High school graduate (includes equivalency)","Margin of Error!!Total!!High school graduate (includes equivalency)","Estimate!!Total!!Some college or associate's degree","Margin of Error!!Total!!Some college or associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Graduate or professional degree","Margin of Error!!Total!!Graduate or professional degree","Estimate!!Total!!Same house 1 year ago","Margin of Error!!Total!!Same house 1 year ago","Estimate!!Total!!Same house 1 year ago!!Less than high school graduate","Margin of Error!!Total!!Same house 1 year ago!!Less than high school graduate","Estimate!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Margin of Error!!Total!!Same house 1 year ago!!High school graduate (includes equivalency)","Estimate!!Total!!Same house 1 year ago!!Some college or associate's degree","Margin of Error!!Total!!Same house 1 year ago!!Some college or associate's degree","Estimate!!Total!!Same house 1 year ago!!Bachelor's degree","Margin of Error!!Total!!Same house 1 year ago!!Bachelor's degree","Estimate!!Total!!Same house 1 year ago!!Graduate or professional degree","Margin of Error!!Total!!Same house 1 year ago!!Graduate or professional degree","Estimate!!Total!!Moved within same county","Margin of Error!!Total!!Moved within same county","Estimate!!Total!!Moved within same county!!Less than high school graduate","Margin of Error!!Total!!Moved within same county!!Less than high school graduate","Estimate!!Total!!Moved within same county!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved within same county!!High school graduate (includes equivalency)","Estimate!!Total!!Moved within same county!!Some college or associate's degree","Margin of Error!!Total!!Moved within same county!!Some college or associate's degree","Estimate!!Total!!Moved within same county!!Bachelor's degree","Margin of Error!!Total!!Moved within same county!!Bachelor's degree","Estimate!!Total!!Moved within same county!!Graduate or professional degree","Margin of Error!!Total!!Moved within same county!!Graduate or professional degree","Estimate!!Total!!Moved from different county within same state","Margin of Error!!Total!!Moved from different county within same state","Estimate!!Total!!Moved from different county within same state!!Less than high school graduate","Margin of Error!!Total!!Moved from different county within same state!!Less than high school graduate","Estimate!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different county within same state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different county within same state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different county within same state!!Some college or associate's degree","Estimate!!Total!!Moved from different county within same state!!Bachelor's degree","Margin of Error!!Total!!Moved from different county within same state!!Bachelor's degree","Estimate!!Total!!Moved from different county within same state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different county within same state!!Graduate or professional degree","Estimate!!Total!!Moved from different state","Margin of Error!!Total!!Moved from different state","Estimate!!Total!!Moved from different state!!Less than high school graduate","Margin of Error!!Total!!Moved from different state!!Less than high school graduate","Estimate!!Total!!Moved from different state!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from different state!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from different state!!Some college or associate's degree","Margin of Error!!Total!!Moved from different state!!Some college or associate's degree","Estimate!!Total!!Moved from different state!!Bachelor's degree","Margin of Error!!Total!!Moved from different state!!Bachelor's degree","Estimate!!Total!!Moved from different state!!Graduate or professional degree","Margin of Error!!Total!!Moved from different state!!Graduate or professional degree","Estimate!!Total!!Moved from abroad","Margin of Error!!Total!!Moved from abroad","Estimate!!Total!!Moved from abroad!!Less than high school graduate","Margin of Error!!Total!!Moved from abroad!!Less than high school graduate","Estimate!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Margin of Error!!Total!!Moved from abroad!!High school graduate (includes equivalency)","Estimate!!Total!!Moved from abroad!!Some college or associate's degree","Margin of Error!!Total!!Moved from abroad!!Some college or associate's degree","Estimate!!Total!!Moved from abroad!!Bachelor's degree","Margin of Error!!Total!!Moved from abroad!!Bachelor's degree","Estimate!!Total!!Moved from abroad!!Graduate or professional degree","Margin of Error!!Total!!Moved from abroad!!Graduate or professional degree",
"0500000US18105","Monroe County, Indiana","80706","69","6273","582","18280","828","19719","998","18497","854","17937","807","66047","978","5033","509","15340","723","16116","939","14398","820","15160","718","8638","975","698","269","1899","430","2476","400","2227","359","1338","306","2469","444","252","107","671","219","607","208","655","193","284","128","2520","481","266","150","288","182","400","155","777","236","789","250","1032","267","24","24","82","70","120","88","440","167","366","172",
"1400000US18105000100","Census Tract 1, Monroe County, Indiana","1630","315","224","105","168","86","271","126","466","195","501","223","738","218","95","51","51","41","55","63","203","101","334","157","380","205","52","34","65","46","134","101","95","99","34","38","181","152","41","62","38","59","18","21","30","30","54","83","166","79","36","55","14","26","16","25","21","33","79","60","165","141","0","16","0","16","48","65","117","115","0","16",
"1400000US18105000201","Census Tract 2.01, Monroe County, Indiana","881","404","8","11","21","19","208","102","261","242","383","173","361","158","8","11","0","16","44","27","138","162","171","64","321","238","0","16","0","16","110","85","79","86","132","167","48","43","0","16","6","12","27","29","15","30","0","16","56","48","0","16","4","7","27","28","0","16","25","26","95","39","0","16","11","12","0","16","29","20","55","32",
"1400000US18105000202","Census Tract 2.02, Monroe County, Indiana","94","58","4","7","8","11","30","38","21","26","31","31","32","31","0","16","8","11","0","16","0","16","24","30","8","9","4","7","0","16","0","16","0","16","4","6","18","25","0","16","0","16","8","15","10","20","0","16","23","35","0","16","0","16","17","33","3","6","3","6","13","18","0","16","0","16","5","10","8","15","0","16",
"1400000US18105000301","Census Tract 3.01, Monroe County, Indiana","2212","211","23","30","206","110","376","138","805","170","802","177","1603","281","14","22","168","95","283","111","508","143","630","180","374","159","4","10","38","43","82","78","176","113","74","64","84","65","5","10","0","11","11","17","50","51","18","30","109","92","0","11","0","11","0","11","71","83","38","45","42","52","0","11","0","11","0","11","0","11","42","52",
"1400000US18105000302","Census Tract 3.02, Monroe County, Indiana","1652","145","43","34","76","45","183","66","435","114","915","131","1320","113","5","10","37","37","119","43","348","94","811","114","125","73","11","17","27","31","27","22","16","21","44","63","84","94","14","20","0","11","37","45","28","44","5","11","76","41","0","11","0","11","0","11","27","29","49","30","47","28","13","18","12","17","0","11","16","19","6","11",
"1400000US18105000401","Census Tract 4.01, Monroe County, Indiana","2495","313","244","188","709","199","721","217","525","183","296","124","1844","274","192","174","574","161","552","205","292","117","234","106","498","226","52","71","102","106","169","91","144","96","31","37","2","4","0","11","2","4","0","11","0","11","0","11","127","95","0","11","31","50","0","11","65","72","31","40","24","39","0","11","0","11","0","11","24","39","0","11",
"1400000US18105000402","Census Tract 4.02, Monroe County, Indiana","3120","273","145","84","676","204","847","201","885","196","567","168","2059","236","125","80","550","169","488","165","553","156","343","110","569","196","0","11","84","72","248","128","162","94","75","49","173","107","0","11","15","24","24","36","86","77","48","38","244","139","20","32","27","42","72","69","84","64","41","57","75","80","0","11","0","11","15","23","0","11","60","78",
"1400000US18105000501","Census Tract 5.01, Monroe County, Indiana","3041","237","308","119","968","165","911","184","547","141","307","118","2758","225","288","117","913","164","835","158","473","136","249","97","144","91","7","16","0","11","70","57","23","23","44","38","125","98","13","29","47","50","0","11","51","45","14","23","14","22","0","11","8","12","6","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
