"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C02_001E","S1902_C02_001M","S1902_C01_002E","S1902_C01_002M","S1902_C02_002E","S1902_C02_002M","S1902_C01_003E","S1902_C01_003M","S1902_C02_003E","S1902_C02_003M","S1902_C01_004E","S1902_C01_004M","S1902_C02_004E","S1902_C02_004M","S1902_C01_005E","S1902_C01_005M","S1902_C02_005E","S1902_C02_005M","S1902_C01_006E","S1902_C01_006M","S1902_C02_006E","S1902_C02_006M","S1902_C01_007E","S1902_C01_007M","S1902_C02_007E","S1902_C02_007M","S1902_C01_008E","S1902_C01_008M","S1902_C02_008E","S1902_C02_008M","S1902_C01_009E","S1902_C01_009M","S1902_C02_009E","S1902_C02_009M","S1902_C01_010E","S1902_C01_010M","S1902_C02_010E","S1902_C02_010M","S1902_C01_011E","S1902_C01_011M","S1902_C02_011E","S1902_C02_011M","S1902_C01_012E","S1902_C01_012M","S1902_C02_012E","S1902_C02_012M","S1902_C01_013E","S1902_C01_013M","S1902_C02_013E","S1902_C02_013M","S1902_C01_014E","S1902_C01_014M","S1902_C02_014E","S1902_C02_014M","S1902_C01_015E","S1902_C01_015M","S1902_C02_015E","S1902_C02_015M","S1902_C01_016E","S1902_C01_016M","S1902_C02_016E","S1902_C02_016M","S1902_C01_017E","S1902_C01_017M","S1902_C02_017E","S1902_C02_017M","S1902_C01_018E","S1902_C01_018M","S1902_C02_018E","S1902_C02_018M","S1902_C01_019E","S1902_C01_019M","S1902_C02_019E","S1902_C02_019M","S1902_C01_020E","S1902_C01_020M","S1902_C02_020E","S1902_C02_020M","S1902_C01_021E","S1902_C01_021M","S1902_C02_021E","S1902_C02_021M","S1902_C01_022E","S1902_C01_022M","S1902_C02_022E","S1902_C02_022M","S1902_C01_023E","S1902_C01_023M","S1902_C02_023E","S1902_C02_023M","S1902_C01_024E","S1902_C01_024M","S1902_C02_024E","S1902_C02_024M","S1902_C01_025E","S1902_C01_025M","S1902_C02_025E","S1902_C02_025M","S1902_C01_026E","S1902_C01_026M","S1902_C02_026E","S1902_C02_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_027E","S1902_C02_027M",
"Geography","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Total!!Estimate!!With earnings","Total!!Margin of Error!!With earnings","Mean income (dollars)!!Estimate!!With earnings","Mean income (dollars)!!Margin of Error!!With earnings","Total!!Estimate!!With interest, dividends, or net rental income","Total!!Margin of Error!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!With interest, dividends, or net rental income","Total!!Estimate!!With Social Security income","Total!!Margin of Error!!With Social Security income","Mean income (dollars)!!Estimate!!With Social Security income","Mean income (dollars)!!Margin of Error!!With Social Security income","Total!!Estimate!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!With Supplemental Security Income (SSI)","Total!!Estimate!!With cash public assistance income","Total!!Margin of Error!!With cash public assistance income","Mean income (dollars)!!Estimate!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!With cash public assistance income","Total!!Estimate!!With retirement income","Total!!Margin of Error!!With retirement income","Mean income (dollars)!!Estimate!!With retirement income","Mean income (dollars)!!Margin of Error!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months",
"0500000US18105","Monroe County, Indiana","53108","916","55106","1867","81.4","1.1","53384","2026","26.2","1.0","12440","1773","21.4","0.8","16694","453","2.4","0.5","8751","659","1.6","0.4","2370","663","14.3","0.9","23948","3513","27162","635","76513","3085","13.0","1.2","49708","7643","29.4","1.6","57148","4428","41.7","1.7","98696","5209","8.8","1.0","57000","7472","6.0","0.7","103480","8938","1.1","0.3","81108","11854","136278","*****","22306","710","88.1","0.3","23545","789","3.4","0.2","12302","1773","0.2","0.1","26135","20383","5.4","0.2","12872","2092","0.0","0.1","N","N","0.9","0.3","11740","2500","2.0","0.4","14428","3524","2.9","*****","15130","3143","86.2","0.2","23673","780","23.9","(X)","(X)","(X)","20.4","(X)","(X)","(X)","20.3","(X)","(X)","(X)",
"1400000US18105000100","Census Tract 1, Monroe County, Indiana","1969","208","19969","4908","89.5","5.2","16474","2278","12.4","4.5","23391","36781","4.3","2.5","7346","4628","1.6","1.5","8209","253","1.2","1.3","1274","976","1.4","1.3","98154","115882","152","65","99658","39270","0.0","19.1","N","N","8.6","10.4","N","N","67.8","24.6","N","N","23.7","25.8","N","N","0.0","19.1","N","N","0.0","19.1","N","N","4347","619","10313","2922","92.8","2.9","10372","3206","2.5","1.9","4035","2325","0.1","0.2","N","N","2.7","1.7","7916","3621","0.0","0.7","-","**","0.4","0.4","N","N","1.6","0.9","21594","22775","2.0","1.6","6650","7231","91.2","3.1","10426","3243","27.5","(X)","(X)","(X)","28.9","(X)","(X)","(X)","26.8","(X)","(X)","(X)",
"1400000US18105000201","Census Tract 2.01, Monroe County, Indiana","608","119","21699","7485","76.3","9.6","26056","9570","13.5","7.5","317","193","1.6","2.8","32320","20","0.0","5.2","-","**","3.0","3.4","1628","1257","0.0","5.2","-","**","307","84","30357","13157","10.1","9.2","N","N","56.4","15.8","N","N","29.3","15.2","N","N","4.2","6.8","N","N","0.0","10.0","N","N","0.0","10.0","N","N","7115","641","4663","819","70.1","4.4","3308","455","2.7","1.3","4936","3309","0.2","0.3","N","N","24.2","3.9","8605","3195","0.0","0.5","-","**","0.6","0.6","2230","2548","2.2","1.2","5283","4966","2.8","1.5","2233","884","67.7","4.7","3335","478","16.3","(X)","(X)","(X)","19.2","(X)","(X)","(X)","30.4","(X)","(X)","(X)",
"1400000US18105000202","Census Tract 2.02, Monroe County, Indiana","143","63","11533","6820","93.0","13.5","11212","6336","24.5","22.6","2134","2940","0.0","20.2","-","**","0.0","20.2","-","**","0.0","20.2","-","**","0.0","20.2","-","**","18","21","N","N","0.0","69.9","N","N","38.9","61.1","N","N","0.0","69.9","N","N","61.1","61.1","N","N","0.0","69.9","N","N","0.0","69.9","N","N","7095","1219","2861","425","78.9","3.8","3064","505","8.6","2.5","2750","615","0.0","0.5","-","**","8.8","3.1","1495","617","0.0","0.5","-","**","0.8","0.6","4193","1966","2.9","1.9","1479","1263","3.3","1.7","7545","6851","76.7","4.2","2873","384","34.3","(X)","(X)","(X)","61.1","(X)","(X)","(X)","30.6","(X)","(X)","(X)",
"1400000US18105000301","Census Tract 3.01, Monroe County, Indiana","2028","132","37704","4942","88.2","3.8","32809","4116","27.0","6.3","8475","3057","10.6","2.9","13389","2970","0.6","1.0","16862","17","0.8","1.1","6088","13","11.3","4.3","32716","24367","465","94","70018","11755","6.2","6.5","68952","21987","26.0","11.1","59002","26072","55.1","13.2","77420","14509","12.7","9.3","61022","32490","0.0","6.7","-","**","0.0","6.7","-","**","5004","641","16180","2701","89.6","3.8","17196","2968","1.5","1.8","3881","2612","0.1","0.2","N","N","5.6","3.0","5948","3273","0.0","0.6","-","**","1.2","1.5","17992","7166","2.0","1.3","7838","4244","2.6","1.5","9771","6209","87.7","3.8","17421","3072","29.9","(X)","(X)","(X)","11.4","(X)","(X)","(X)","31.2","(X)","(X)","(X)",
"1400000US18105000302","Census Tract 3.02, Monroe County, Indiana","1205","96","64149","8621","80.7","5.7","55018","8526","39.8","7.7","15057","5828","22.1","4.3","19286","2783","0.0","2.7","-","**","0.0","2.7","-","**","21.3","6.2","39865","12434","463","78","86810","17224","13.2","7.0","53084","20765","29.2","12.6","78110","45266","42.5","11.3","120995","21749","15.1","8.7","36774","20804","0.0","6.8","-","**","0.0","6.8","-","**","2955","360","26727","4651","90.9","4.2","27620","5009","0.0","0.1","N","N","2.0","2.7","21757","9192","4.2","2.5","18565","12360","0.0","1.1","-","**","1.5","1.8","7014","2513","1.5","1.3","21277","21905","4.0","3.2","31318","22749","88.4","5.0","27115","4856","24.9","(X)","(X)","(X)","24.0","(X)","(X)","(X)","17.3","(X)","(X)","(X)",
"1400000US18105000401","Census Tract 4.01, Monroe County, Indiana","1869","132","31468","3101","81.6","4.8","31095","3631","20.7","5.0","2087","1332","25.5","5.6","13980","1570","3.4","2.8","4084","1124","3.6","3.3","1315","1577","13.4","4.2","8834","2950","560","106","42837","6320","7.9","4.8","N","N","46.3","11.7","N","N","33.2","9.4","N","N","10.4","9.0","N","N","2.3","3.6","N","N","0.0","5.6","N","N","3593","334","17621","1982","90.6","4.4","17526","2118","4.0","2.5","27438","9574","0.4","0.5","N","N","3.1","3.4","11707","10639","0.0","0.9","-","**","0.1","0.2","N","N","1.8","1.5","8683","4996","4.5","3.1","13527","4582","87.0","5.1","17711","2197","19.3","(X)","(X)","(X)","10.0","(X)","(X)","(X)","19.6","(X)","(X)","(X)",
"1400000US18105000402","Census Tract 4.02, Monroe County, Indiana","2100","155","38629","3661","87.1","4.2","36734","3591","20.7","6.0","4557","2251","14.5","4.0","12769","2250","5.0","3.2","8109","1052","2.7","1.9","1541","904","10.8","3.7","24035","12016","816","146","45545","6450","14.5","7.2","N","N","38.6","11.4","N","N","35.2","10.1","N","N","9.2","7.0","N","N","2.6","2.8","N","N","0.0","3.9","N","N","4283","472","19944","2499","77.7","6.8","20702","2501","13.2","6.1","12785","6386","0.3","0.4","N","N","3.0","2.5","15683","6011","0.7","1.1","N","N","0.4","0.7","N","N","4.8","3.4","27934","20238","2.2","1.8","21778","6528","76.4","6.8","20794","2534","21.4","(X)","(X)","(X)","24.9","(X)","(X)","(X)","16.7","(X)","(X)","(X)",
"1400000US18105000501","Census Tract 5.01, Monroe County, Indiana","1792","143","52150","4183","83.2","4.1","50654","4382","28.7","6.4","4529","3826","23.8","3.1","17575","1805","3.6","2.8","9505","4744","3.3","2.5","2293","2233","24.8","4.4","13235","3022","1190","114","59363","4448","11.0","3.6","N","N","35.1","8.0","N","N","36.7","7.9","N","N","12.1","5.5","N","N","2.8","3.2","N","N","2.3","2.0","N","N","4483","277","21827","1794","85.7","4.1","22246","1791","6.5","2.5","22264","7945","0.0","0.7","-","**","3.2","2.2","20264","7300","0.0","0.7","-","**","0.7","0.7","N","N","3.9","2.7","10394","8788","5.8","3.2","18320","11459","81.1","4.5","22508","1714","17.5","(X)","(X)","(X)","17.8","(X)","(X)","(X)","13.8","(X)","(X)","(X)",
