"GEO_ID","NAME","S1902_C01_001E","S1902_C01_001M","S1902_C02_001E","S1902_C02_001M","S1902_C01_002E","S1902_C01_002M","S1902_C02_002E","S1902_C02_002M","S1902_C01_003E","S1902_C01_003M","S1902_C02_003E","S1902_C02_003M","S1902_C01_004E","S1902_C01_004M","S1902_C02_004E","S1902_C02_004M","S1902_C01_005E","S1902_C01_005M","S1902_C02_005E","S1902_C02_005M","S1902_C01_006E","S1902_C01_006M","S1902_C02_006E","S1902_C02_006M","S1902_C01_007E","S1902_C01_007M","S1902_C02_007E","S1902_C02_007M","S1902_C01_008E","S1902_C01_008M","S1902_C02_008E","S1902_C02_008M","S1902_C01_009E","S1902_C01_009M","S1902_C02_009E","S1902_C02_009M","S1902_C01_010E","S1902_C01_010M","S1902_C02_010E","S1902_C02_010M","S1902_C01_011E","S1902_C01_011M","S1902_C02_011E","S1902_C02_011M","S1902_C01_012E","S1902_C01_012M","S1902_C02_012E","S1902_C02_012M","S1902_C01_013E","S1902_C01_013M","S1902_C02_013E","S1902_C02_013M","S1902_C01_014E","S1902_C01_014M","S1902_C02_014E","S1902_C02_014M","S1902_C01_015E","S1902_C01_015M","S1902_C02_015E","S1902_C02_015M","S1902_C01_016E","S1902_C01_016M","S1902_C02_016E","S1902_C02_016M","S1902_C01_017E","S1902_C01_017M","S1902_C02_017E","S1902_C02_017M","S1902_C01_018E","S1902_C01_018M","S1902_C02_018E","S1902_C02_018M","S1902_C01_019E","S1902_C01_019M","S1902_C02_019E","S1902_C02_019M","S1902_C01_020E","S1902_C01_020M","S1902_C02_020E","S1902_C02_020M","S1902_C01_021E","S1902_C01_021M","S1902_C02_021E","S1902_C02_021M","S1902_C01_022E","S1902_C01_022M","S1902_C02_022E","S1902_C02_022M","S1902_C01_023E","S1902_C01_023M","S1902_C02_023E","S1902_C02_023M","S1902_C01_024E","S1902_C01_024M","S1902_C02_024E","S1902_C02_024M","S1902_C01_025E","S1902_C01_025M","S1902_C02_025E","S1902_C02_025M","S1902_C01_026E","S1902_C01_026M","S1902_C02_026E","S1902_C02_026M","S1902_C01_027E","S1902_C01_027M","S1902_C02_027E","S1902_C02_027M",
"Geography","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Mean income (dollars)!!Estimate!!All households","Mean income (dollars)!!Margin of Error!!All households","Total!!Estimate!!All households!!With earnings","Total!!Margin of Error!!All households!!With earnings","Mean income (dollars)!!Estimate!!All households!!With earnings","Mean income (dollars)!!Margin of Error!!All households!!With earnings","Total!!Estimate!!All households!!With interest, dividends, or net rental income","Total!!Margin of Error!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Estimate!!All households!!With interest, dividends, or net rental income","Mean income (dollars)!!Margin of Error!!All households!!With interest, dividends, or net rental income","Total!!Estimate!!All households!!With Social Security income","Total!!Margin of Error!!All households!!With Social Security income","Mean income (dollars)!!Estimate!!All households!!With Social Security income","Mean income (dollars)!!Margin of Error!!All households!!With Social Security income","Total!!Estimate!!All households!!With Supplemental Security Income (SSI)","Total!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Estimate!!All households!!With Supplemental Security Income (SSI)","Mean income (dollars)!!Margin of Error!!All households!!With Supplemental Security Income (SSI)","Total!!Estimate!!All households!!With cash public assistance income","Total!!Margin of Error!!All households!!With cash public assistance income","Mean income (dollars)!!Estimate!!All households!!With cash public assistance income","Mean income (dollars)!!Margin of Error!!All households!!With cash public assistance income","Total!!Estimate!!All households!!With retirement income","Total!!Margin of Error!!All households!!With retirement income","Mean income (dollars)!!Estimate!!All households!!With retirement income","Mean income (dollars)!!Margin of Error!!All households!!With retirement income","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, husband and wife worked","Total!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Estimate!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Mean income (dollars)!!Margin of Error!!FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!White","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Black or African American","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!American Indian and Alaska Native","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Asian","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race!!Some other race","Total!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Estimate!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Mean income (dollars)!!Margin of Error!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Mean income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Mean income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Mean income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Estimate!!PERCENT IMPUTED!!Individual income in the past 12 months","Mean income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Individual income in the past 12 months",
"0500000US18105","Monroe County, Indiana","53914","699","57267","1804","81.2","0.9","55667","2006","25.0","1.1","14345","2464","22.7","0.8","17370","534","2.8","0.5","9011","843","1.5","0.3","2745","930","14.0","0.7","23305","2057","27437","671","78236","2959","13.7","1.1","48485","6892","30.7","2.0","61695","3985","39.3","1.9","101917","5196","8.7","1.2","58852","6733","5.6","0.8","101458","8815","2.0","0.6","90629","31520","139634","*****","23032","691","87.5","0.2","24300","767","3.1","0.3","16774","2586","0.4","0.2","25111","12896","5.7","0.2","14253","2048","0.0","0.1","39763","29662","1.0","0.3","10484","2869","2.5","0.3","10396","2048","3.0","*****","11245","2169","85.6","0.1","24583","778","23.9","(X)","(X)","(X)","20.9","(X)","(X)","(X)","22.0","(X)","(X)","(X)",
"1400000US18105000100","Census Tract 1, Monroe County, Indiana","2134","193","25350","6627","90.5","4.7","20667","4313","11.0","3.6","27268","41655","6.0","4.0","16580","6830","2.3","1.9","7248","1103","1.1","1.2","496","146","3.2","3.3","60222","63604","323","139","70838","32107","0.6","2.8","N","N","34.4","24.1","N","N","33.7","16.3","N","N","31.3","23.1","N","N","0.0","8.9","N","N","0.0","8.9","N","N","5008","569","12563","3289","90.8","3.7","12938","3466","1.4","0.9","6117","5576","0.1","0.2","N","N","6.0","3.5","11079","11537","0.0","0.6","-","**","0.4","0.5","N","N","1.3","1.0","2711","2323","1.2","1.2","3591","3757","89.9","3.9","13033","3491","29.3","(X)","(X)","(X)","44.0","(X)","(X)","(X)","28.3","(X)","(X)","(X)",
"1400000US18105000201","Census Tract 2.01, Monroe County, Indiana","483","76","22989","11086","77.6","9.6","26986","13276","16.6","9.4","-6","307","0.0","6.0","-","**","0.0","6.0","-","**","2.1","3.5","2770","13","0.0","6.0","-","**","237","61","32181","19999","10.5","9.8","N","N","65.4","19.3","N","N","21.1","18.3","N","N","3.0","4.9","N","N","0.0","11.9","N","N","0.0","11.9","N","N","6788","540","4244","886","71.3","4.5","3167","487","2.2","1.0","4003","2815","0.0","0.4","-","**","23.7","3.8","7570","3368","0.0","0.4","-","**","0.3","0.4","N","N","2.6","1.3","3662","2538","2.7","1.2","2164","911","68.9","4.5","3201","503","17.6","(X)","(X)","(X)","22.8","(X)","(X)","(X)","37.6","(X)","(X)","(X)",
"1400000US18105000202","Census Tract 2.02, Monroe County, Indiana","56","37","11238","5097","100.0","38.1","9727","3300","41.1","33.3","3678","4431","0.0","38.1","-","**","0.0","38.1","-","**","0.0","38.1","-","**","0.0","38.1","-","**","11","18","N","N","0.0","85.9","N","N","0.0","85.9","N","N","0.0","85.9","N","N","100.0","85.9","N","N","0.0","85.9","N","N","0.0","85.9","N","N","6588","442","3216","551","78.7","4.4","3345","650","6.8","2.1","3416","2969","0.0","0.5","-","**","10.0","2.7","2439","1028","0.0","0.5","-","**","1.1","0.8","4189","2297","3.3","1.5","1783","823","5.9","2.2","6627","6774","74.5","4.9","3068","360","19.6","(X)","(X)","(X)","100.0","(X)","(X)","(X)","36.4","(X)","(X)","(X)",
"1400000US18105000301","Census Tract 3.01, Monroe County, Indiana","1988","140","42323","9311","89.5","3.8","37249","6500","29.0","6.6","13449","15139","11.4","4.0","17918","3109","1.5","1.5","12528","5357","0.0","1.5","-","**","9.4","3.5","15693","6359","487","113","50247","11134","10.1","7.6","N","N","35.9","18.8","N","N","36.3","14.7","N","N","14.8","11.3","N","N","2.9","4.7","N","N","0.0","6.0","N","N","5161","709","17717","4325","87.1","4.9","18582","4833","2.9","2.5","19593","15018","0.0","0.6","-","**","3.6","1.7","9078","3978","0.0","0.6","-","**","0.7","0.9","17964","7227","5.7","4.2","9110","4807","2.0","1.9","9754","3784","85.4","5.1","18793","4939","27.9","(X)","(X)","(X)","5.3","(X)","(X)","(X)","29.7","(X)","(X)","(X)",
"1400000US18105000302","Census Tract 3.02, Monroe County, Indiana","1237","79","63157","9223","78.3","6.2","56836","10434","35.2","9.0","18834","6979","20.4","3.4","20908","2995","1.4","1.5","20906","19104","0.0","2.4","-","**","16.7","4.4","40940","9439","484","84","96603","20874","17.8","8.7","N","N","20.0","11.2","N","N","48.6","10.3","N","N","10.7","8.5","N","N","2.9","3.3","N","N","0.0","6.0","N","N","3452","371","23726","3673","90.4","3.7","24482","4266","0.0","0.1","N","N","1.9","2.4","26023","8488","5.0","2.8","17890","11272","0.4","0.6","N","N","1.6","1.7","N","N","0.7","1.0","N","N","3.9","2.7","24779","18999","88.2","4.3","24175","4215","28.5","(X)","(X)","(X)","21.7","(X)","(X)","(X)","25.0","(X)","(X)","(X)",
"1400000US18105000401","Census Tract 4.01, Monroe County, Indiana","2023","109","38742","5666","86.7","4.6","37207","6589","18.8","5.7","3518","3385","24.3","6.4","14411","2196","3.5","3.0","5234","1618","3.6","2.7","2736","2332","13.2","4.7","11597","3323","734","152","52353","7306","4.2","4.7","N","N","40.7","12.1","N","N","30.4","10.2","N","N","23.2","12.3","N","N","1.5","2.5","N","N","0.0","4.0","N","N","4175","336","20089","2885","89.6","4.1","20016","2998","3.4","2.5","24508","10469","1.1","1.3","N","N","3.8","3.3","18611","12014","0.0","0.7","-","**","0.4","0.5","9561","4721","1.8","1.4","6847","6363","5.8","3.6","9939","5149","84.7","5.2","20645","3164","24.7","(X)","(X)","(X)","26.4","(X)","(X)","(X)","24.4","(X)","(X)","(X)",
"1400000US18105000402","Census Tract 4.02, Monroe County, Indiana","2027","150","42974","5838","83.4","4.7","44919","7112","17.1","6.1","4435","2167","14.5","4.0","13292","1928","7.0","3.9","8138","1941","2.1","1.7","1240","984","10.1","3.9","14634","5669","819","142","44891","6574","19.4","8.2","16442","9148","28.4","10.5","35659","9046","41.4","11.2","58465","11254","6.8","4.6","38805","13184","3.9","3.4","120303","31538","0.0","3.6","-","**","4057","420","22164","3764","83.4","5.6","23000","4491","5.0","3.2","20956","11219","0.4","0.6","N","N","3.3","2.9","7640","3772","0.0","0.7","-","**","0.6","0.7","N","N","7.3","3.4","20287","11014","1.6","0.9","14437","10819","82.4","5.5","23165","4596","22.0","(X)","(X)","(X)","18.1","(X)","(X)","(X)","18.6","(X)","(X)","(X)",
"1400000US18105000501","Census Tract 5.01, Monroe County, Indiana","1901","157","50931","4776","83.6","3.7","49308","5326","28.2","6.5","4380","3100","21.8","3.3","16099","1689","6.0","3.4","8649","3237","4.4","3.1","2324","1718","22.0","4.4","14906","4413","1124","134","57984","7048","8.7","3.3","N","N","39.8","9.4","N","N","33.5","8.3","N","N","9.4","4.4","N","N","3.1","3.8","N","N","5.4","6.1","N","N","4503","381","22422","2126","84.9","4.3","23229","2289","6.5","2.6","20359","6366","0.0","0.7","-","**","2.7","1.6","30208","14237","0.0","0.7","-","**","0.4","0.5","N","N","5.5","3.0","9572","8540","4.3","2.7","9773","6209","82.0","4.2","23592","2300","20.7","(X)","(X)","(X)","23.7","(X)","(X)","(X)","18.8","(X)","(X)","(X)",
